",Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth"
"0,2020,Overall,National,All,All,All,All,All,All,30946785.0,32244893.5,14826919.0,0.4791"
"1,2020,Overall,National,All,All,All,All,All,Rural,7182616.0,7493527.25,2859483.0,0.3981"
"2,2020,Overall,National,All,All,All,All,65-74,All,14440791.0,15326714.583,6495728.0,0.4498"
"3,2020,Overall,National,All,All,All,Aged,All,All,26643001.0,27762319.25,12371786.0,0.4644"
"4,2020,Overall,National,All,All,Male,All,All,All,13626828.0,14624466.0,6201102.0,0.4551"
"5,2020,Overall,National,All,Asian/Pacific Islander,All,All,All,Rural,41777.0,46892.583333,15851.0,0.3794"
"6,2020,Overall,National,All,Black/African American,All,All,All,Rural,375443.0,384483.33333,153133.0,0.4079"
"7,2020,Overall,National,All,Black/African American,All,All,65-74,All,1108995.0,1195560.75,523416.0,0.472"
"8,2020,Overall,National,All,Black/African American,Male,All,All,All,1115620.0,1248777.5833,508346.0,0.4557"
"9,2020,Overall,National,All,Hispanic,All,All,All,Rural,224335.0,249562.66667,101625.0,0.453"
"10,2020,Overall,National,All,Non-Hispanic White,All,All,All,All,24604317.0,25378800.667,11583367.0,0.4708"
"11,2020,Overall,National,All,Non-Hispanic White,All,All,All,Rural,6302991.0,6560485.0,2484048.0,0.3941"
"12,2020,Overall,National,All,Non-Hispanic White,All,All,65-74,All,11457260.0,12023156.5,5069660.0,0.4425"
"13,2020,Overall,National,All,Non-Hispanic White,All,All,75-84,All,7140659.0,7294416.9167,3415399.0,0.4783"
"14,2020,Overall,National,All,Non-Hispanic White,All,All,85 and over,All,3308445.0,3232813.4167,1556526.0,0.4705"
